Title,Description,Vacancies,Location,Min Education,Min Experience,Apply Before,URL
Project Finance Manager,"Job TitleSNG II Project Finance ManagerProgrammeEPP/GovernanceJob FunctionClient facingLocationUK/OxfordReports toProject Director SNG II[Soft line reporting to OPM Pakistan Pvt Ltd Finance Manager]Job Level of ManagerICNo of Direct Reports3No of Indirect Reports0Job Description1. Purpose/Key Objectives of the JobWhat is the primary purpose of this job? Describe the 5-6 main objectives of the job and the approximate % of time spent performing each objective.The Sub-National Governance Programme II (SNG II) is a £32 million programme. The SNG II Project Finance Manager will be part of the SNG II management team, working alongside the project management team, specifically the Project Director and Provincial Team Leaders, to implement SNG II within a 5% variance of forecast, and in line with DFID’s requirements as set out in the Terms and Conditions. The Project Finance Manager will also lead on the management of KPI performance tracking. Key elements of the role will be tracking the financial status of the project, support client reporting, invoicing and project financial forecasting.The Project Finance Manager will be responsible for overseeing the project finance team under SNG II, working with the OPM Pakistan Pvt ltd Finance Manager to ensure costs are correctly recorded against account codes, resource codes and deliverable workstreams in order that they can be recovered under the terms of the cost recovery client contract. The Project Finance Manager will develop and maintain client reporting that shows costs incurred and costs expected to be incurred in a timely and value added manner in order that the variance from forecast is minimized as exceeding the allowed variance puts the performance funding at risk.The expected objectives of the role are: Providing reports, estimates and forecasts for client consumption: 30%Providing relevant analysis to the SNG II Management Team: 30%Collecting & analyzing financial data for SNG Management team and Client: 15%Working with and building the capability of project finance and project officers in country: 15%Working with non-finance colleagues in country (information gathering, implementation of senior management decisions, feedback): 10%2. ResponsibilitiesDescribe the responsibilities as clearly as possible. Which tasks is the job holder responsible for and in what way? What results are to be achieved?Acquire excellent understanding of the project’s commercial proposal and sufficient knowledge of the project’s technical focus.Work with project management team and project director to develop value added client reporting that demonstrates performance according to the commercial metrics in the proposal.Provide financial reports as per client requirements, adapting to client needs.Meet the current monthly requirement for resource based forecasting by 25th of the month, consisting of, i) actual costs for previous month, ii) estimate for the current month, iii) forecast for the following month and iv) forecast of invoice values for the following month.Work with project management and technical team leads in country to ensure coding information, the detailed workplan and the days worked is made available to the project officers and project finance officers in a timely manner.Prepares forecasts for project and grant activities in collaboration with team members, including supporting the Programme Manager (PM) with monthly DFID forecastingWorking with the SNG Management Team, maintain and update budget tracking tools for accurately tracking spend to dateReview costs at time of posting to ensure accuracy and minimize recodes.Raise invoices to the client and update backing sheet.Keep tracking of invoices and ensure Pakistan sales tax is properly recorded and deposited in timely manner.Review and approve project budget and provide recommendations to the PD for approval.Tracks monthly project expenditure and report performance against the agreed plan to the team in Pakistan and Oxford.Work with Finance teams in Oxford and in country to support project financial reporting. Work closely with, and provide technical oversight to, the 3 project finance officers in country (line managed by in country finance manager) to support smooth financial delivery.Engage with DFID on a regular basis to support project finance reporting and project oversight. Maintain an effective working relationship with DFID.Supports preparation of detailed activity budgets for projects based on implementation plans in collaboration with the SNG Management team, Team Leads (TLs) and Workstream Leads (WSLs)Ensure compliance with the SNG-II Operations manual, OPM Finance guidelines and regulatory compliance in collaboration with the SNG Management teamConduct regular review of financial aspects of the SNG operating manuals and procedures and suggest changesReview SNG related procurement processes, ensuring full compliance with DFID’s procurement procedures.3. Level of AutonomyWhat decisions may the job holder make without first seeking approval from higher manager/supervisor?The job holder may respond to client requests for financial information with prior approval (and without approval in case of routine information), copying in the SNG Management Team and ensuring client communications are logged in the agreed location.4. ExamplesPlease give two examples of the typical challenges or problems the job holder faces in their daily work and what they must do to overcome them.Communicating implications of cost recovery financial model to client officers in country and agreeing ways of working. Clear understanding of the contractual relationship and of best practice client relationship management will assist in formulating concise presentation of OPM’s interests.Bringing technically oriented in country team leads on board with the increased focus on project planning and financial management implicit in the cost recovery model. Providing swift feedback on the financial implications of proposed workplan developments and variations to support forward planning.5. Job RequirementsEssential educational qualifications, relevant experience and requested skills.Skills and Experience: Proven experience of financial management of UK Government NPAC projects from estimation through reporting against budget and funder audit.Solid understanding of core accounting, period end routines and management reporting.Strong analytical ability and capability to find creative solutions with regard to project financial reporting.Strong financial modelling skills (creation and ownership of financial models).Proven track record of dealing effectively with stakeholders at all levels.Qualifications & Accreditations:Graduate with finance industry professional qualification.At least 06-7 years post-qualification experience acquired in a range of organisations.Excellent IT skills: Excel, Visio, Word, PowerPoint, MS Office 365.",1 Post,"Oxfordshire, United Kingdom",Bachelors,6 Years (At least 06-7 years post-qualification experience acquired in a range of organisations),14-Jun-23,https://www.rozee.pk/oxford-policy-management-ltd-project-finance-manager-oxfordshire-jobs-1380401?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1380401&utm_campaign=ROZEE.PK_job_search
Sales Coordinator,Urgent required a sales coordinator for our company who can do the following job:-1- Timely making of quotations/estimates in Excel/software2- Timely making of boqs in excel/software3- Making ppts for the projects4- Follow-up of quotations from the sales team,1 Post,"Karachi, Pakistan",Intermediate/A-Level,1 Year,7-Jul-23,https://www.rozee.pk/transfo-tech-engineering-sales-coordinator-karachi-jobs-1387723?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387723&utm_campaign=ROZEE.PK_job_search
Sales Agent - Credit Car Hire,Job Duties & Responsibilities: 1. Must be fully aware of the product and services offered by the company.2. Track sales data and work to meet sale team goals.3. Identify opportunities to enhance and increase the services offered to clients.4. Educate customers regarding services and benefits.5. Maintain excellent relationships with clients through superior customer service.6. Open customer accounts by recording account information and maintaining the updated records.7. Resolve customer complaints with the help of their manager.8. Develop new relationship with potential clients to bring in new business.Required Skills: Strong customer service and technical support skillsExcellent English communication and problem-solving skillsStrong ability to multitask and prioritizeExperience with SAP and other software like CRM is a plusAbility to work effectively in a team-oriented environment Salary + Benefits: Salary (As per the Interview)EOBIProvident FundMonthly Performance based BonusAppreciation based Lunch/Dinner/TripsBi-Annual Increments + Performance-based Increments on Salary,10 Posts,"Lahore, Pakistan",Bachelors,3 Years,7-Jul-23,https://www.rozee.pk/affinityvibez-pvt-ltd-sales-agent-credit-car-hire-lahore-jobs-1387701?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387701&utm_campaign=ROZEE.PK_job_search
Data Analyst- Debt Capital Structure,"The Role: Data Researcher I, Debt Capital Structure/Equity Capital StructureThe Grade (for internal candidates): 7The Location: IslamabadThe Team:As a part of team, you will deliver and maintain accurate, complete and timely data sets while taking into account the business units global interests and needs internally & externally.As a Data Researcher I, you will support the integrity and comprehensiveness of the data set by utilizing internal & external public research sources such as government & regulatory documents, stock exchanges, industry journals, analyst reports as well as information databases and our internal research tools to collect, summarize, and synthesize relevant information. Hence you will gain exposure to different reports of covered Industries, while having frequent interaction with global analysts to learn the industry dynamics and create a symbiotic work culture.What’s in it for you?This position is an excellent stepping stone to understand Industry dynamism, that will allow you to gain a comprehensive understanding of the industry through financial reporting standards, and enable you to learn facets of the assigned industry, and as well as apply this knowledge to your daily responsibilities.Responsibilities:Process data (Financial or Non-Financial, depending on the process selected for) and apply it in an accurate manner to the database using technical and financial knowledgeCollection, Standardization and validation of corporate annual, semi-annual or quarterly financial data from companies; published reports.Deliver on predefined individual and team targets including delivering outcomes with quality and excellence.Will work within parameters and with supervision to ensure quality and performance to set standards.Keeps up-to-date in knowledge of content sets. Builds industry knowledge by understanding industry trends and reporting standardsProvides input and ideas for new collection methods and product enhancements related to the covered content sets.Troubleshoots problems or issues and provide support to the team.What we look for:Basic Finance & accounting Knowledge.The candidate should be willing to work in rotational (including night) shifts. Ability to multi-task and work in a team environment, while following flexible schedule to meet deadlines.Effective communication skill (written & Verbal) and sound computer skills are the pre requisites for the positions.Comfortable taking initiative and demonstrating resourcefulnessStrong attention to detail and persistent approach to workStrong quantitative, analytical and interpretive skillsBasic Qualifications:Commerce GraduatePost-Graduation: ACCA / M.Com / MBA (Any Stream with Finance / Accountancy as Major subject).Well versed with Internet searching and Microsoft OfficeAbility to prioritize, multi-task, and deliver with regard to fast deadlinesAn inquisitive and investigative nature.A Positive attitude, strong interest in research, flair for writing and an eye for detail.Ability to interact with many levels and to face and deal with issues in a mature and professional mannerAbout S&P GlobalAt S&P Global Market Intelligence, we know that not all information is important—some of it is vital. Accurate, deep and insightful. We integrate financial and industry data, research, and news into tools that help track performance, generate alpha, identify investment ideas, understand competitive and industry dynamics, perform valuation and assess credit risk. Investment professionals, government agencies, corporations and universities globally can gain the intelligence essential to making business and financial decisions with conviction.S&P Global Market Intelligence is a division of S&P Global (NYSE: SPGI), which provides essential intelligence for individuals, companies, and governments to make decisions with confidence. For more information, visit www.spglobal.com/marketintelligence.S&P Global is an equal opportunity employer committed to making all employment decisions without regard to race/ethnicity, gender, pregnancy, gender identity or expression, color, creed, religion, national origin, age, disability, marital status (including domestic partnerships and civil unions), sexual orientation, military veteran status, unemployment status, or other legally protected categories, subject to applicable law.-----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------20 - Professional (EEO-2 Job Categories-United States of America), DTMGOP203 - Entry Professional (EEO Job Group), SWP Priority – Ratings - (Strategic Workforce Planning)",1 Post,"Islamabad, Pakistan",Null,Null,5-Feb-23,https://www.rozee.pk/sp-global-market-intelligence-data-analyst-debt-capital-structure-jobs-1346638?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1346638&utm_campaign=ROZEE.PK_job_search
IT Project Manager,"Manage and supervise the overall operations of the advertising department.Coordinate and collaborate with other departments and stakeholders.Set goals, develop strategies, and monitor the department's performance.Oversee IT projects related to data collection, integration, and visualization.",1 Post,"Faisalabad, Pakistan",Masters,3 Years,7-Jul-23,https://www.rozee.pk/zee-developers-it-project-manager-faisalabad-jobs-1387765?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387765&utm_campaign=ROZEE.PK_job_search
Social Organizer,"Note: Every applications fitting the job description will be thoroughly evaluated. Candidate who tries to influence the recruitment process through calls and indirect means will be automatically disqualified.This role will be based in Killa Saifullah with a responsibility to implement the project activities. Main task will include project implementation at community level for district communities in Killa Saifullah, within available budget, planned resources, and timelines.Essential Objectives:Prepare activity implementation plan and discuss the required resources to undertake the activityEnsure the community participation the project activitiesForm / re-organise Community Based organizations (CBOs) male/femaleConduct Village mapping/profiling through different PRA tools (i.e. is BBCMs, Mapping/profile, conflict resolution wealth ranking etcMobilize community and orient project and organization's mandateWork with community members to map and prioritize community needsIdentify and organize appropriate capacity building, and technical resources to support project implementationEnsure efficient and effective implementation of Climate Change Adaptation, Food Security, Livelihoods, Cash transfer and WASH related interventions at community level.Write regular weekly, monthly and other reports (as per suggestion and need)Facilitation and support in conducting the awareness sessionsMobilize community groups, sensitize and train them on specific topics as required, organize and facilitate meetings.Follow the Social Mobilization guidelines of SIF and implement it at community level.Perform other duties as requested by the line supervisorPrepare daily field visit reports after commencing the visit in the fieldPrepare and submit weekly progress report well on timePrepare any other reports when required/asked by the supervisorActively participate in staff meetingsThis list is not limited; the employee may be required to perform any other task necessary and compatible with its functions.Knowledge and Skills Required: Master’s/Bachelor’s degree in related disciplineAt least have 4 Years of experience with NGO/ INGO’s on related positionsPrior experience in Emergency Response Project will be preferredClear understanding Local of contextGood report writing skillsGood inter-personal, coordination and presentation skills.Fluency in local language.Cultural sensitive and respect the diversitySelf-starter and be able to work with minimal supervision.Able to deal with people at all levels with tact and diplomacy.Good Team player and motivated to work in remote and uncertain environment respecting standard operating procedures as devised and instructed.*SIF strictly prohibits dual employment, and reserves the right to initiate appropriate procedural or legal measures in response to any violation of this policy.SIF reserves the right to check the criminal records according with the current law.The SIF has a zero-tolerance policy towards any type of fraud, corruption, moral harassment, abuse or violence of any kind whatsoever and more generally any violation of legislation, regulations or its code of conduct.SIF respects the humanitarian principle of ""Do no harm"" and ensures child security as a primary consideration.SIF is an equal opportunity employer that is committed to diversity and inclusion in the workplace. The Hiring is subject to donor funding*",3 Posts,"Killa Saifullah, Pakistan",Masters,4 Years (Work experience with INGO/NGO will be preferred),7-Jul-23,https://www.rozee.pk/secours-islamique-france-sif-social-organizer-killa-saifullah-jobs-1387693?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387693&utm_campaign=ROZEE.PK_job_search
Warehouse Manager,"We are currently seeking a highly skilled and experienced Warehouse Manager to join our team in Dubai. This is a great opportunity for an individual with a strong background in warehouse operations to take on a key leadership role in a dynamic and growing organization.Responsibilities:Oversee and manage all warehouse activities, including receiving, storage, inventory management, and order fulfillment.Develop and implement efficient warehouse procedures and processes to optimize productivity and minimize errors.Monitor and maintain inventory levels, ensuring accuracy and timely replenishment.Coordinate with cross-functional teams, such as procurement, sales, and transportation, to ensure seamless operations and customer satisfaction.Lead, train, and motivate warehouse staff, fostering a positive and high-performing team environment.Implement health and safety regulations and maintain a clean and organized warehouse environment.Utilize warehouse management systems (WMS) to track and manage inventory, orders, and shipments.Analyze warehouse performance metrics and implement continuous improvement initiatives to enhance efficiency and cost-effectiveness.Prepare regular reports on warehouse activities, including inventory levels, productivity, and compliance.Requirements:Bachelor's degree in logistics, supply chain management, or a related field.Proven experience as a Warehouse Manager or in a similar role, preferably in a fast-paced distribution environment.Strong knowledge of warehouse operations, inventory management, and logistics processes.Proficient in using warehouse management systems (WMS) and other relevant software.Excellent leadership skills with the ability to inspire and develop a diverse team. Exceptional organizational and problem-solving abilities.Strong communication and interpersonal skills, with the ability to collaborate effectively with different stakeholders.Attention to detail and a commitment to maintaining high standards of accuracy.Familiarity with health and safety regulations and best practices.Ability to work under pressure and meet deadlines.Eligibility: UAE Nationals or UAE Valid Work Visa HolderSalary During Probation: AED 5,000 Salary After Probation: AED 6,000We offer a competitive salary package and opportunities for professional growth and development. If you meet the above requirements and are passionate about retail management, please submit your resume and cover letter for consideration.",1 Post,"Dubai, United Arab Emirates",Bachelors,3 Years,5-Jul-23,https://www.rozee.pk/ismmart-group-of-industries-warehouse-manager-dubai-jobs-1386917
Sales Executive,"The ideal candidate will hunt new customers and opportunities and will work to develop relationships to maximize revenue by adding new customers and retaining existing. You act as a consultant by developing account strategies that provide the greatest opportunities to drive revenue.Responsibilities:Generating new sales lead for LED Lighting and Solar BusinessWorking on the customer requirement and offering the best techno-commercial solution to the customerMeeting or exceeding assigned sales targetsWorking towards sustainable growth of company business with existing customers and adding new customersQualifications:Bachelor's degree or equivalent experience in Business3+ years' of sales, business development experienceExcellent written and verbal communication skillsAbility to multi-task, organize, and prioritize work",4 Posts,"Lahore, Pakistan",Bachelors,3 Years,7-Jul-23,https://www.rozee.pk/hunbul-tech-pvt-ltd-sales-executive-lahore-jobs-1387639?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387639&utm_campaign=ROZEE.PK_job_search
Principal Software Engineer. I / Principal Software Engineer.II / Lead Software Engineer,"Main Responsibilities:Design & Develop Software applications as per specification by following the guidelines and best practicesDevelop REST & GraphQL APIsEnsure the quality of code through guidelines and unit testingParticipate in scrum meetings to ensure the delivery as per planMaintain and support software applications in different stagesR&D to explore the new technologies and trendsRequired Skill Set:Strong software engineering fundamentals in OOAD, design patterns, MVC, data structures, algorithms etc.6+ years’ experience of C#, .NET Core, ReactJS, AngularJS, Typescript, CSS, HTML, SQL Server or other RDBMS, Entity Framework CoreExperience of Rest & GraphQL APIs developmentExperience with source control (Git, SVN) & unit testing toolsKnowledge of Golang, NoSQL and Graph Database would be plusStrong interpersonal, written, and verbal communication skillsAbility to perform comfortably in a fast-paced, deadline-oriented, agile environmentSelf-motivated, quick learner and a responsive team playerStrong Problem-solving, debugging and analytical skillsKnowledge and understanding of microservices.",4 Posts,"Karachi, Pakistan",Bachelors,6 Years,8-Jul-23,https://www.rozee.pk/pakistan-single-window-principal-software-engineer-i-principal-software-engineerii-lead-software-engineer-karachi-jobs-1388113?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1388113&utm_campaign=ROZEE.PK_job_search
Accounts Officer / Cashier,"Qualification Graduate in accounts with Minimum 5-to 7 years experience in a similar position with major responsibilities cash management, relevant documents and daily petty cash management.Excellent knowledge in the given field and computer ERP knowledge.The incumbent shuold be honest, punctual, hard working.Available 3-Times meal with accommodation.",1 Post,"Lahore, Pakistan",Bachelors,5 Years,8-Jul-23,https://www.rozee.pk/style-styrofoam-industries-accounts-officer-cashier-lahore-jobs-1388063?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1388063&utm_campaign=ROZEE.PK_job_search
Graphic Designer - Intern,"We are looking for the services of ""Graphic Designer - Intern ""Relevant candidates are encouraged to apply.",1 Post,"Lahore, Pakistan",Intermediate/A-Level,Less than 1 Year,7-Jul-23,https://www.rozee.pk/ahu-technologies-inc-graphic-designer-intern-lahore-jobs-1387983?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387983&utm_campaign=ROZEE.PK_job_search
Senior Magento Developer,"As a senior Magento developer, you would have a deep understanding of the Magento e-commerce platform and possess advanced skills in developing and customizing Magento-based websites. Your role would involve working on complex projects, leading development teams, and implementing best practices for Magento development. Here are some key responsibilities and skills associated with the role of a senior Magento developer:Responsibilities:Developing and maintaining Magento-based websites, themes, and extensions.Customizing and integrating Magento functionalities to meet specific client requirements.Collaborating with cross-functional teams to gather project requirements and provide technical guidance.Conducting code reviews and ensuring adherence to coding standards and best practices.Troubleshooting and debugging complex issues in Magento-based applications.Optimizing website performance and scalability.Staying updated with the latest Magento releases, features, and industry trends.Skills:Proficiency in PHP programming language and the Magento platform.Strong knowledge of Magento architecture, including database structure and the MVC pattern.Expertise in developing custom Magento modules and extensions.Experience with frontend technologies like HTML, CSS, JavaScript, and jQuery.Familiarity with Magento theming and customization using XML, LESS, and CSS.Knowledge of integrating third-party APIs and payment gateways into Magento.Understanding of performance optimization techniques and caching mechanisms in Magento.Experience with version control systems like Git.Familiarity with agile development methodologies.Strong problem-solving and analytical skills.",1 Post,"Lahore, Pakistan",Bachelors,5 Years,6-Jul-23,https://www.rozee.pk/zoom-digital-senior-magento-developer-lahore-jobs-1387467?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387467&utm_campaign=ROZEE.PK_job_search
Associate Manager Sales,"We are currently seeking a dynamic and motivated individual to join our team at ISMMART Group of Industries, in United Kingdom. As an Associate Manager, you will play a key role in supporting the Sales Manager in driving sales activities and achieving revenue targets. You will be responsible for managing a team of sales professionals, developing sales strategies, and building strong relationships with clients.Responsibilities:Lead and motivate a team of sales representatives, providing guidance, training, and performance evaluations.Collaborate with the marketing department to identify new market opportunities, target potential customers, and develop effective sales campaigns.Build and maintain strong relationships with key clients, understanding their needs, and ensuring their satisfaction with our products and services.Monitor and analyze sales data, market trends, and competitor activities to identify areas for improvement and develop strategies to stay ahead.Assist in the preparation of sales forecasts, budgets, and reports for management review.Stay up-to-date with industry developments, emerging technologies, and best practices in sales to drive innovation and stay competitive.Requirements:Bachelor's degree in Business Administration, Marketing, or a related field. Proven experience in sales, business development, or a related role, with a track record of meeting or exceeding sales targets.Strong leadership and team management skills, with the ability to motivate and inspire a sales team.Excellent communication, negotiation, and interpersonal skills.Analytical mindset with the ability to gather and interpret data to make informed sales decisions.Results-driven with a strong customer focus and a passion for achieving targets.Familiarity with the UK market and an understanding of industry trends.Ability to work well under pressure and adapt to a fast-paced, dynamic environment.Eligibility:British Nationals or Valid UK Work VisaSalary:During Probation: GBP 1,800After Probation: GBP 2,100We offer a competitive salary package and opportunities for professional growth and development. If you meet the above requirements and are passionate about retail management, please submit your resume and cover letter for consideration.",10 Posts,"Greater London, United Kingdom",Bachelors,2 Years,5-Jul-23,https://www.rozee.pk/ismmart-group-of-industries-associate-manager-sales-greater-london-jobs-1386891?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1386891&utm_campaign=ROZEE.PK_job_search
Senior .NET Developer,"We are seeking a skilled Senior .NET Software Engineer with at least 4 years of experience to join our team and contribute to the development of software solutions using the .NET framework.In this role, you will be responsible for designing, developing, and maintaining high-quality software applications. You will work closely with teams, participate in requirements analysis, and ensure the delivery of scalable and functional code.If you have a strong understanding of .NET development, experience with Azure services, and a passion for delivering robust software solutions, we would like to meet you.Responsibilities: Collaborate with cross-functional teams to analyze requirements and translate application storyboards into functional applications.Design and implement data storage solutions, including relational databases (e.g., SQL Server/PostgreSQL) and non-relational databases (e.g. Cosmos/Mongo).Create software design and architecture that aligns with clean architecture and domain-driven design principlesz.Write clean, scalable, and maintainable code using best practices and following DRY, OOP, SOLID principles and design patterns.Debug, refactor, and enhance existing code to improve performance and functionality.Develop comprehensive documentation throughout the software development life cycle (SDLC).Communicate effectively with clients to gather requirements, provide updates, and address any technical concerns.Requirements and Skills: Minimum 4 years of proven experience as a .NET Developer or Senior Software Engineer.Strong proficiency in SQL/TSQL and experience with relational databases (e.g., SQL Server/PostgreSQL) and non-relational databases (e.g. Cosmos/Mongo).In-depth knowledge and experience with C#, .NET Framework/.NET 6, and Web API (Restful).Familiarity with clean architecture and domain-driven design principlesUnderstanding or experience with Azure services (e.g., IoT Hub, Message Queues, Function Apps) is a plus.Excellent problem-solving skills and ability to identify and resolve defectsEffective communication and collaboration skills, with the ability to work well within a team.Proficient understanding of code versioning tools.Attention to detail and commitment to delivering high-quality software solutions.BSc in Computer Science, Engineering, or a related field.",2 Posts,"Lahore, Pakistan",Bachelors,3 Years - 4 Years,7-Jul-23,https://www.rozee.pk/cybersoft-pvt-ltd-senior-net-developer-lahore-jobs-1387771?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387771&utm_campaign=ROZEE.PK_job_search
Quality Assurance Officer,Job Duties & Responsibilities: 1. Collaborate with the CEO of company and upper management team to set quality benchmarks2. Create standards in accordance with business standards and customer expectations and ensure that services meet customer expectations and demand3. Identify quality control processes to ensure criteria are met at all times4. Execute tests to check final services adherence to the company standards5. Brainstorm ideas to increase productivity and performance of the industry line while maintaining accuracy in quality6. Make crucial decisions in favour of cost-efficiency without compromising on quality7. Work closely with the development and technical team to improve existing servicesRequired Skills: Strong customer service and technical support skillsExcellent English communication and problem-solving skillsStrong ability to multitask and prioritizeExperience with SAP and other software like CRM is a plusAbility to work effectively in a team-oriented environment Salary + Benefits: Salary (As per the Interview)EOBIProvident FundMonthly Performance based BonusAppreciation based Lunch/Dinner/TripsBi-Annual Increments + Performance-based Increments on Salary,10 Posts,"Lahore, Pakistan",Bachelors,3 Years,7-Jul-23,https://www.rozee.pk/affinityvibez-pvt-ltd-quality-assurance-officer-lahore-jobs-1387729?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387729&utm_campaign=ROZEE.PK_job_search
WordPress Developer,We are looking for the services of the WordPress Developer.Relevant candidates are encouraged to apply.,1 Post,"Lahore, Pakistan",Masters,2 Years,6-Jul-23,https://www.rozee.pk/working-wares-wordpress-developer-lahore-jobs-1387161?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387161&utm_campaign=ROZEE.PK_job_search
Trainee Graphic Designer,"We are committed to providing opportunities for individuals facing challenges or those with limited skills in graphic design to gain valuable work experience and enhance their employability. As a Trainee Graphic Designer, you will be part of our employability program, designed to support and train individuals with basic skills in graphic design. We will provide a supportive and inclusive environment where you can learn and grow, while contributing to various design projects.Key Responsibilities: Assisting the design team in basic graphic design tasks, such as resizing images, creating simple graphics, and formatting documents.Learning and applying design software skills, including Adobe Photoshop, Illustrator, and InDesign, under the guidance of experienced designers.Collaborating with senior designers and team members to understand project requirements and contribute to design discussions.Supporting the team in organizing and managing design files, including maintaining digital asset libraries.Participating in design brainstorming sessions and offering creative ideas to contribute to the overall design process.Following brand guidelines and project specifications to create visually appealing designs for various mediums, such as social media graphics or basic marketing materials.Assisting in quality checks to ensure accuracy and consistency in design deliverables.Learning effective time management skills and meeting deadlines for assigned tasks and projects.Actively seeking feedback from senior designers and incorporating it to improve design skills and techniques.Demonstrating a positive and proactive attitude towards learning and personal growth in the field of graphic design. Qualifications and Skills: A willingness to learn and a strong passion for graphic design.Basic computer literacy and familiarity with design software is desirable but not required.Strong attention to detail and the ability to follow instructions and guidelines.Good communication skills and the ability to work as part of a team.A positive and enthusiastic attitude towards challenges and learning opportunities.Basic understanding of design principles and the ability to apply them.Prior experience or knowledge of design concepts is a plus, but not mandatory.Openness to receiving guidance and constructive feedback to enhance design skills.An eagerness to develop employability skills and gain valuable work experience. Note: This job description is specifically designed to encourage individuals with limited skills or facing challenges to apply. We aim to provide a supportive and inclusive environment that fosters growth and helps individuals develop their graphic design abilities and employability skills.",1 Post,"Karachi, Lahore, Abbottabad, Pakistan",Intermediate/A-Level,Fresh,7-Jul-23,https://www.rozee.pk/innovator-commerce-trainee-graphic-designer-karachi-lahore-abbottabad-jobs-1388001?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1388001&utm_campaign=ROZEE.PK_job_search
